encuesta_year,hogar_uid,persona_uid,id_hogar,n_pers,tramo_edad,sexo,nivel_estudios,situacion_laboral,estrato,estado_salud,trimestre,dia_semana,tipo_dia,internet_medicion,factor_elevacion,min_cuidados_personales,min_trabajo_remunerado,min_estudios,min_hogar_familia,min_voluntario_reuniones,min_vida_social_diversion,min_deportes_airelibre,min_aficiones_informatica,min_medios_comunicacion,min_trayectos_noespec,min_cp_dormir,min_cp_comer_beber,min_cp_higiene_salud,min_tr_actividad_laboral,min_tr_actividades_relacionadas,min_est_clases_formacion,min_est_estudio_tiempo_libre,min_hf_actividades_culinarias,min_hf_mantenimiento_hogar,min_hf_ropa,min_hf_jardineria_animales,min_hf_construccion_reparaciones,min_hf_compras_servicios,min_hf_gestiones_hogar,min_hf_cuidado_menores,min_hf_cuidado_adultos,min_vr_voluntariado_organizado,min_vr_ayuda_otros_hogares,min_vr_participacion_religion,min_vs_vida_social,min_vs_diversion_cultura,min_vs_ocio_pasivo,min_da_ejercicio_fisico,min_da_ejercicio_productivo,min_da_actividades_relacionadas,min_ai_arte_aficiones,min_ai_informatica,min_ai_juegos,min_mc_lectura,min_mc_television_video,min_mc_radio_grabaciones,min_tray_trabajo,min_tray_estudios,min_tray_hogar_familia,min_tray_voluntariado,min_tray_vida_social,min_tray_otro_ocio,min_tray_cambio_municipio,min_tray_otros_no_especificado,min_internet_total,min_internet_cuidados_personales,min_internet_trabajo_remunerado,min_internet_estudios,min_internet_hogar_familia,min_internet_voluntario_reuniones,min_internet_vida_social_diversion,min_internet_deportes_airelibre,min_internet_aficiones_informatica,min_internet_medios_comunicacion,min_internet_trayectos_noespec
2024,2024_C0001,2024_C0001_1,C0001,1,45-64 años,Mujer,Primaria o inferior,Otra inactividad,Gran ciudad / Área densa,Muy malo,Oct-Dic,Viernes-Domingo,Día habitual,Dispositivo electrónico o Internet,335.06719,650,0,0,270,0,100,0,320,100,0,370,110,170,0,0,0,0,80,130,60,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,230,90,0,0,100,0,0,0,0,0,0,0,0,0,120.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,90.0,0.0,0.0
2024,2024_C0002,2024_C0002_1,C0002,1,65 o más,Hombre,Primaria o inferior,Jubilado o prejubilado,Gran ciudad / Área densa,Aceptable,Oct-Dic,Viernes-Domingo,Día habitual,Dispositivo electrónico o Internet,428.63069,730,0,0,210,0,0,40,0,370,90,540,120,70,0,0,0,0,100,40,0,0,0,60,0,0,10,0,0,0,0,0,0,40,0,0,0,0,0,0,370,0,0,0,90,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,2024_C0002,2024_C0002_2,C0002,2,65 o más,Mujer,Primaria o inferior,Jubilado o prejubilado,Gran ciudad / Área densa,Malo,Oct-Dic,Viernes-Domingo,Día habitual,Dispositivo electrónico o Internet,416.13613,800,0,0,220,0,80,0,0,340,0,520,180,100,0,0,0,0,140,60,0,0,0,0,20,0,0,0,0,0,30,0,50,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,2024_C0006,2024_C0006_1,C0006,1,65 o más,Mujer,Primaria o inferior,Jubilado o prejubilado,Gran ciudad / Área densa,Malo,Oct-Dic,Lunes-Jueves,Día habitual,Dispositivo electrónico o Internet,747.4898,700,0,0,160,80,0,0,80,280,140,520,120,60,0,0,0,0,130,0,0,0,0,30,0,0,0,0,80,0,0,0,0,0,0,0,0,0,80,0,280,0,0,0,30,110,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,2024_C0009,2024_C0009_1,C0009,1,25-44 años,Hombre,Sec. segunda etapa,Ocupado,Gran ciudad / Área densa,Bueno,Oct-Dic,Viernes-Domingo,Día habitual,Dispositivo electrónico o Internet,509.88793,970,60,0,50,0,0,0,0,280,80,880,80,10,60,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,50,0,30,0,0,0,0,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
2024,2024_C0009,2024_C0009_2,C0009,2,25-44 años,Mujer,Sec. segunda etapa,Desocupado,Gran ciudad / Área densa,Bueno,Oct-Dic,Viernes-Domingo,Día habitual,Dispositivo electrónico o Internet,918.1935,810,0,0,360,0,0,0,90,150,30,610,160,40,0,0,0,0,160,150,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,150,0,0,0,30,0,0,0,0,0,190.0,30.0,0.0,0.0,70.0,0.0,0.0,0.0,90.0,0.0,0.0
2024,2024_C0010,2024_C0010_1,C0010,1,25-44 años,Hombre,Sec. segunda etapa,Ocupado,Gran ciudad / Área densa,Bueno,Oct-Dic,Viernes-Domingo,Día habitual,Dispositivo electrónico o Internet,1048.73516,610,680,0,70,0,0,0,0,0,80,500,70,40,680,0,0,0,20,10,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,20,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,2024_C0010,2024_C0010_2,C0010,2,25-44 años,Hombre,Sec. segunda etapa,Ocupado,Gran ciudad / Área densa,Bueno,Oct-Dic,Viernes-Domingo,Día habitual,Dispositivo electrónico o Internet,1048.73516,570,720,0,50,0,0,0,0,60,40,460,90,20,720,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,40,0,0,0,0,0,0,0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
2024,2024_C0010,2024_C0010_3,C0010,3,10-24 años,Hombre,Sec. segunda etapa,Ocupado,Gran ciudad / Área densa,Bueno,Oct-Dic,Viernes-Domingo,Día habitual,Dispositivo electrónico o Internet,2712.85726,620,730,0,10,0,0,0,0,0,80,550,30,40,730,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
2024,2024_C0014,2024_C0014_1,C0014,1,65 o más,Mujer,Primaria o inferior,Jubilado o prejubilado,Gran ciudad / Área densa,Malo,Oct-Dic,Viernes-Domingo,Día habitual,Dispositivo electrónico o Internet,411.543,780,0,0,130,40,80,0,0,410,0,520,90,170,0,0,0,0,120,10,0,0,0,0,0,0,0,0,40,0,10,0,70,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
