Variable,DescrCA,DescrES,DescrEN,Valor_Value,LabelCA,LabelES,LabelEN,,
CODI_LLAR,Codi de la llar,Código del hogar,Home code,,,,,,
CODI_PERSONA,Codi de la persona,Código de la persona,Person code,,,,,,
CODI_PERSONA,,,,1,Persona 1,Persona 1,Person 1,,
CODI_PERSONA,,,,2,Persona 2,Persona 2,Person 2,,
CODI_PERSONA,,,,3,Persona 3,Persona 3,Person 3,,
CODI_PERSONA,,,,4,Persona 4,Persona 4,Person 4,,
CODI_PERSONA,,,,5,Persona 5,Persona 5,Person 5,,
CODI_PERSONA,,,,6,Persona 6,Persona 6,Person 6,,
CODI_PERSONA,,,,7,Persona 7,Persona 7,Person 7,,
CODI_PERSONA,,,,8,Persona 8,Persona 8,Person 8,,
CODI_PERSONA,,,,9,Persona 9,Persona 9,Person 9,,
CODI_PERSONA,,,,10,Persona 10,Persona 10,Person 10,,
CODI_PERSONA,,,,11,Persona 11,Persona 11,Person 11,,
CODI_PERSONA,,,,12,Persona 12,Persona 12,Person 12,,
CODI_PERSONA,,,,13,Persona 13,Persona 13,Person 13,,
CODI_PERSONA,,,,14,Persona 14,Persona 14,Person 14,,
CODI_PERSONA,,,,15,Persona 15,Persona 15,Person 15,,
T1_ID_SEC_TRIM,Trimestre de referència de la secció,Trimestre de referencia de la sección,Section reference quarter,,,,,,
T1_DATA_DIA,Dia de referència del diari,Día de referencia del diario,Diary reference day,,,,,,
T1_DATA_MES,Mes de referència del diari,Mes de referencia del diario,Diary reference month,,,,,,
T1_DATA_ANY,Any de referència del diari,Año de referencia del diario,Diary reference year,,,,,,
T2_HH_INICI,Hora d'inici de la primera activitat del diari,Hora de inicio de la primera actividad del diario,Hour of the start of the first diary activity,,,,,,
T2_MM_INICI,Minut d'inici de la primera activitat del diari,Minuto de inicio de la primera actividad del diario,Minute of the start of the first diary activity,,,,,,
T6_HH_FI,Hora de final de la darrera activitat principal,Hora de final de la última actividad principal,Hour of the end of the last main activity,,,,,,
T6_MM_FI,Minuts finals de la darrera activitat principal,Minutos finales de la última actividad principal,Minute of the end of the last main activity,,,,,,
T7_QUAN,1. Quan ha emplenat el diari?,1. ¿Cuándo ha cumplimentado el diario?,1. When did you fill in the diary?,,,,,,
T7_QUAN,,,,1,Al llarg del dia de referència,A lo largo del día de referencia,During the reference day,,
T7_QUAN,,,,2,Al final del dia de referència,Al final del día de referencia,At the end of the reference day,,
T7_QUAN,,,,3,El dia següent al de referència,El día siguiente al de referencia,The day after the reference day,,
T7_QUAN,,,,4,Més tard,Más tarde,Later,,
T7_QUAN_TARD,1.1. Dies de retard en emplenar el diari respecte de la data de referència,1.1. Días de retraso en cumplimentar el diario respecto a la fecha de referencia,1.1. Days of delay in filling in the dairy after the reference date,,,,,,
T7_TIPUS_DIA,2. Com considera que ha estat aquest dia?,2. ¿Cómo considera que ha sido este día?,2. How do you consider this day to have been?,,,,,,
T7_TIPUS_DIA,,,,1,Dia habitual,Día habitual,A usual day,,
T7_TIPUS_DIA,,,,2,Dia inusual,Día inusual,An unusual day,,
T7_INUSUAL_1,3.1 Motius pels quals ha estat inusual aquest dia: Dia aclaparador per la quantitat de tasques a fer,3.1 Motivos por los cuales ha sido inusual este día: Día abrumador por la cantidad de tareas a realizar,3.1 Reasons why this day has been unusual: A day that was overwhelming due to amount of tasks to be done,,,,,,
T7_INUSUAL_1,,,,1,Sí,Sí,Yes,,
T7_INUSUAL_1,,,,6,No,No,No,,
