IDQUEST_HT 	CODI_LLAR 	CODI_PERSONA 	TEMPS_TREB_SET 	TEMPS_DIA1 	NOM_DIA1 	TREB_DIA1 	TEMPS_DIA2 	NOM_DIA2 	TREB_DIA2 	TEMPS_DIA3 	NOM_DIA3 	TREB_DIA3 	TEMPS_DIA4 	NOM_DIA4 	TREB_DIA4 	TEMPS_DIA5 	NOM_DIA5 	TREB_DIA5 	TEMPS_DIA6 	NOM_DIA6 	TREB_DIA6 	TEMPS_DIA7 	NOM_DIA7 	TREB_DIA7
   4000501 	     0005 	          01 	          2100 	         0 	       7 	        6 	       420 	       1 	        1 	       420 	       2 	        1 	       420 	       3 	        1 	       420 	       4 	        1 	       420 	       5 	        1 	         0 	       6 	        6
   4000601 	     0006 	          01 	          3600 	         0 	       7 	        6 	       720 	       1 	        1 	       720 	       2 	        1 	       720 	       3 	        1 	       720 	       4 	        1 	       720 	       5 	        1 	         0 	       6 	        6
   4000602 	     0006 	          02 	          3150 	         0 	       7 	        6 	       615 	       1 	        1 	       645 	       2 	        1 	       645 	       3 	        1 	       630 	       4 	        1 	       615 	       5 	        1 	         0 	       6 	        6
   4000802 	     0008 	          02 	          2805 	       510 	       1 	        1 	       510 	       2 	        1 	       480 	       3 	        1 	       510 	       4 	        1 	       390 	       5 	        1 	       405 	       6 	        1 	         0 	       7 	        6
   4000902 	     0009 	          02 	          1110 	       270 	       5 	        1 	       270 	       6 	        1 	       300 	       7 	        1 	         0 	       1 	        6 	         0 	       2 	        6 	       270 	       3 	        1 	         0 	       4 	        6
   4001801 	     0018 	          01 	          1470 	       540 	       3 	        1 	       540 	       4 	        1 	       390 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6 	         0 	       1 	        6 	         0 	       2 	        6
   4001802 	     0018 	          02 	          1455 	       345 	       3 	        1 	       345 	       4 	        1 	       285 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6 	         0 	       1 	        6 	       480 	       2 	        1
   4002601 	     0026 	          01 	          2400 	       480 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6 	       480 	       1 	        1 	       480 	       2 	        1 	       480 	       3 	        1 	       480 	       4 	        1
   4002602 	     0026 	          02 	          2460 	       480 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6 	       480 	       1 	        1 	       480 	       2 	        1 	       480 	       3 	        1 	       540 	       4 	        1
   4002801 	     0028 	          01 	          3150 	         0 	       6 	        6 	         0 	       7 	        6 	       630 	       1 	        1 	       630 	       2 	        1 	       630 	       3 	        1 	       630 	       4 	        1 	       630 	       5 	        1
   4003103 	     0031 	          03 	            60 	         0 	       1 	        6 	         0 	       2 	        6 	         0 	       3 	        6 	         0 	       4 	        6 	        60 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6
   4003302 	     0033 	          02 	           480 	         0 	       3 	        6 	         0 	       4 	        6 	         0 	       5 	        6 	         0 	       6 	        6 	         0 	       7 	        6 	         0 	       1 	        6 	       480 	       2 	        1
   4003602 	     0036 	          02 	          1860 	       420 	       3 	        1 	       420 	       4 	        1 	       300 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6 	       420 	       1 	        1 	       300 	       2 	        1
   4003701 	     0037 	          01 	          2070 	         0 	       6 	        6 	         0 	       7 	        6 	         0 	       1 	        6 	       540 	       2 	        1 	       540 	       3 	        1 	       540 	       4 	        1 	       450 	       5 	        1
   4003702 	     0037 	          02 	          1725 	         0 	       6 	        6 	         0 	       7 	        6 	         0 	       1 	        6 	       420 	       2 	        1 	       420 	       3 	        1 	       420 	       4 	        1 	       465 	       5 	        1
   4004001 	     0040 	          01 	          3075 	         0 	       7 	        6 	       615 	       1 	        1 	       615 	       2 	        1 	       615 	       3 	        1 	       615 	       4 	        1 	       615 	       5 	        1 	         0 	       6 	        6
