Variable,DescrCA,DescrES,DescrEN,Valor_Value,LabelCA,LabelES,LabelEN
IDQUEST_HT,Identificador del qüestionari horari,Identificador del cuestionario horario,Timetable questionnaire identifier,,,,
CODI_LLAR,Codi de la llar,Código del hogar,Home code,,,,
CODI_PERSONA,Codi de la persona,Código de la persona,Person code,,,,
CODI_PERSONA,,,,1,Persona 1,Persona 1,Person 1
CODI_PERSONA,,,,2,Persona 2,Persona 2,Person 2
CODI_PERSONA,,,,3,Persona 3,Persona 3,Person 3
CODI_PERSONA,,,,4,Persona 4,Persona 4,Person 4
CODI_PERSONA,,,,5,Persona 5,Persona 5,Person 5
CODI_PERSONA,,,,6,Persona 6,Persona 6,Person 6
CODI_PERSONA,,,,7,Persona 7,Persona 7,Person 7
CODI_PERSONA,,,,8,Persona 8,Persona 8,Person 8
CODI_PERSONA,,,,9,Persona 9,Persona 9,Person 9
CODI_PERSONA,,,,10,Persona 10,Persona 10,Person 10
CODI_PERSONA,,,,11,Persona 11,Persona 11,Person 11
CODI_PERSONA,,,,12,Persona 12,Persona 12,Person 12
CODI_PERSONA,,,,13,Persona 13,Persona 13,Person 13
CODI_PERSONA,,,,14,Persona 14,Persona 14,Person 14
CODI_PERSONA,,,,15,Persona 15,Persona 15,Person 15
TEMPS_TREB_SET,Temps (en minuts) treballat total setmanal,Tiempo (en minutos) trabajado total semanal,Total time (in minutes) worked weekly,,,,
TEMPS_DIA1,Temps (en minuts) treballat del dia 1,Tiempo (en minutos) trabajado del día 1,Time (in minutes) worked from day 1,,,,
NOM_DIA1,Dia de la setmana del dia 1,Día de la semana del día 1,Day of the week of day 1,,,,
NOM_DIA1,,,,1,Dilluns,Lunes,Monday
NOM_DIA1,,,,2,Dimarts,Martes,Tuesday
NOM_DIA1,,,,3,Dimecres,Miércoles,Wednesday
NOM_DIA1,,,,4,Dijous,Jueves,Thursday
NOM_DIA1,,,,5,Divendres,Viernes,Friday
NOM_DIA1,,,,6,Dissabte,Sábado,Saturday
NOM_DIA1,,,,7,Diumenge,Domingo,Sunday
