CODI_LLAR 	CODI_PERSONA 	Sexe 	Edat 	T2_TREBALL 	T2_TREBALL_ABS 	T2_MOTIU_TREB 	T2_ACTIV_ESTABL 	T2_OCUP 	T2_HORES_TREB 	T2_JORNADA_PRIN 	T2_JORNADA_TIPUS 	T2_SIT_PROF 	T2_CONTRACTE 	T2_HORARI 	T2_VACANCES 	T2_VAC_ANY_LAB 	T2_VAC_ANY_NAT 	T2_VAC_MES_LAB 	T2_VAC_MES_NAT 	T2_INGRES_NET 	T2_TREBALL_SECUNDARI 	T2_H_TREBALL_SECU 	T2_INGRES_MES_SECU 	T2_CERCA_FEINA 	T2_COMEN_TREBALLAR 	T2_MESURES_TREBALLAR 	T2_MESURES1 	T2_MESURES2 	T2_MESURES3 	T2_MESURES4 	T2_MESURES5 	T2_MESURES6 	T2_MESURES7 	T2_MESURES8 	T3_SITUACIO_ACTIV 	T4_AJ_ALTRES1 	T4_AJ_ALTRES2 	T4_AJ_ALTRES3 	T4_AJ_ALTRES4 	T4_AJ_ALTRES5 	T4_AJ_ALTRES6 	T4_AJ_ALTRES7 	T4_AJ_ALTRES8 	T4_AJ_ALTRES9 	T4_AJ_ALTRES10 	T5_VOLUNTARIAT1 	T5_VOLUNTARIAT2 	T5_VOLUNTARIAT3 	T5_VOLUNTARIAT4 	T5_VOLUNTARIAT5 	T5_VOLUNTARIAT6 	T5_VOLUNTARIAT7 	T5_VOLUNTARIAT8 	T5_VOLUNTARIAT9 	T5_VOLUNTARIAT10 	T5_VOLUNTARIAT11 	T5_VOLUNTARIAT12 	T6_ESTUDI_ALT 	T6_PAIS_NAIX 	T6_NACIONALITAT 	T6_NACIONALITAT2 	T6_SALUT 	T6_ESTAT_CIVIL 	T6_VIVINT 	T6_FILL_VIUEN 	PES_INDIVIDUS_CALMAR
     0001 	          01 	   1 	  75 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             3 	                   	                     	            	            	            	            	            	            	            	            	                4 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            1 	            1 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            4 	           1 	              1 	                 	       2 	             2 	        1 	            6 	             1561486
     0001 	          02 	   6 	  69 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             3 	                   	                     	            	            	            	            	            	            	            	            	                4 	            1 	            6 	            6 	            6 	            6 	            6 	            6 	            1 	            1 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            3 	           1 	              1 	                 	       2 	             2 	        1 	            6 	             1597897
     0004 	          01 	   6 	  74 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             3 	                   	                     	            	            	            	            	            	            	            	            	                4 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               1 	            3 	           1 	              1 	                 	       2 	             2 	        6 	            6 	             1597897
     0005 	          01 	   6 	  57 	         1 	               	              	             86 	     44 	              	              1 	               1 	          6 	           1 	        6 	          1 	               	            39 	               	               	            6 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            4 	           1 	              1 	                 	       2 	             2 	        1 	            6 	             1212078
     0005 	          02 	   1 	  62 	         1 	               	              	             84 	     30 	              	              1 	               6 	          6 	           1 	        1 	          1 	               	            48 	               	               	            8 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            6 	           1 	              1 	                 	       2 	             2 	        1 	            6 	             1205183
     0005 	          03 	   1 	  30 	         1 	               	              	             64 	     40 	           40 	              1 	               1 	          5 	           1 	        6 	          1 	               	            30 	               	               	            8 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               1 	               6 	               6 	            8 	           1 	              1 	                 	       1 	             1 	        6 	            6 	             1298361
     0006 	          01 	   1 	  57 	         1 	               	              	             52 	     14 	           40 	              1 	               6 	          2 	             	          	            	               	               	               	               	           99 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            5 	           2 	              2 	                 	       1 	             2 	        1 	            6 	             2324888
     0006 	          02 	   6 	  58 	         1 	               	              	             52 	     14 	           40 	              1 	               1 	          2 	             	          	            	               	               	               	               	           99 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              1 	              6 	               6 	               6 	               6 	            5 	           1 	              1 	                 	       1 	             2 	        1 	            6 	             1212078
     0008 	          01 	   1 	  57 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             1 	                 1 	                   1 	          1 	          6 	          1 	          1 	          1 	          1 	          6 	          6 	                2 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            4 	           1 	              1 	                 	       2 	             2 	        1 	            6 	             1205183
     0008 	          02 	   6 	  58 	         1 	               	              	             65 	     34 	           35 	              1 	               1 	          5 	           1 	        6 	          1 	               	            30 	               	               	            5 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            6 	           1 	              1 	                 	       2 	             2 	        1 	            6 	             1212078
     0008 	          03 	   6 	  29 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             1 	                 1 	                   1 	          1 	          6 	          1 	          1 	          1 	          6 	          6 	          6 	                2 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            4 	           1 	              1 	                 	       2 	             1 	        6 	            6 	             1234791
     0009 	          01 	   1 	  39 	         1 	               	              	             45 	     11 	           50 	              1 	               6 	          2 	             	          	            	               	               	               	               	           98 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              1 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               1 	               6 	            7 	           1 	              1 	                 	       2 	             2 	        1 	            6 	             1298361
     0009 	          02 	   6 	  38 	         1 	               	              	             58 	     24 	           16 	              6 	               1 	          5 	           1 	        6 	          1 	               	            30 	               	               	            7 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            1 	            6 	            6 	            6 	            1 	            6 	            6 	            1 	             6 	              1 	              1 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            9 	           1 	              1 	                 	       2 	             2 	        1 	            6 	             1234791
     0009 	          03 	   1 	  10 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                3 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              1 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               1 	               6 	               6 	            3 	           1 	              1 	                 	       1 	             1 	          	              	             1299739
     0018 	          01 	   1 	  39 	         1 	               	              	             20 	     11 	           40 	              1 	               6 	          5 	           1 	        6 	          1 	               	            30 	               	               	            8 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            9 	           1 	              1 	                 	       2 	             2 	        1 	            6 	             1298361
     0018 	          02 	   6 	  39 	         1 	               	              	             88 	     29 	           30 	              6 	               6 	          5 	           1 	        6 	          1 	               	            30 	               	               	            7 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            8 	           1 	              1 	                 	       2 	             2 	        1 	            6 	             1234791
     0022 	          01 	   1 	  35 	         1 	               	              	             38 	     98 	           40 	              1 	               6 	          6 	           1 	        6 	          1 	               	            30 	               	               	            4 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            4 	           1 	              1 	                 	       2 	             1 	        6 	            6 	             1298361
     0026 	          01 	   6 	  46 	         1 	               	              	             41 	     40 	           40 	              1 	               6 	          5 	           1 	        6 	          1 	               	            30 	               	               	            7 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            5 	           1 	              1 	                 	       2 	             2 	        1 	            6 	              625648
     0026 	          02 	   1 	  45 	         1 	               	              	             38 	     80 	           40 	              1 	               1 	          5 	           1 	        6 	          1 	               	            30 	               	               	            4 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            1 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            4 	           1 	              1 	                 	       3 	             2 	        1 	            6 	              586541
     0026 	          03 	   1 	  19 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             3 	                   	                     	            	            	            	            	            	            	            	            	                3 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            5 	           1 	              1 	                 	       2 	             1 	          	              	              666676
     0026 	          04 	   6 	  12 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             3 	                   	                     	            	            	            	            	            	            	            	            	                3 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            3 	           1 	              1 	                 	       2 	             1 	          	              	              839499
     0028 	          01 	   1 	  48 	         1 	               	              	             41 	     71 	           40 	              1 	               6 	          5 	           1 	        6 	          1 	               	            30 	               	               	           98 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            5 	           1 	              1 	                 	       2 	             2 	        1 	            6 	              586541
     0028 	          02 	   6 	  47 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             3 	                   	                     	            	            	            	            	            	            	            	            	                5 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            4 	           1 	              1 	                 	       3 	             2 	        1 	            6 	              625648
     0028 	          03 	   1 	  23 	         6 	             1 	            1 	             28 	     75 	           40 	              1 	               1 	          5 	           1 	        6 	          1 	               	            30 	               	               	           98 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            4 	           1 	              1 	                 	       2 	             1 	        6 	            6 	              666676
     0028 	          04 	   1 	  16 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             3 	                   	                     	            	            	            	            	            	            	            	            	                3 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            4 	           1 	              1 	                 	       2 	             1 	          	              	              666676
     0031 	          01 	   6 	  47 	         6 	             1 	            2 	             32 	     97 	           40 	              1 	               1 	          5 	           1 	        6 	          1 	               	            30 	               	               	            5 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            4 	           1 	              1 	                 	       3 	             2 	        1 	            6 	              625648
     0031 	          02 	   1 	  55 	         1 	               	              	             25 	     81 	           45 	              1 	               6 	          2 	             	          	            	               	               	               	               	           98 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            1 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            4 	           1 	              1 	                 	       3 	             2 	        1 	            6 	              586541
