Variable,DescrCA,DescrES,DescrEN,Valor_Value,LabelCA,LabelES,LabelEN,,,,,,,,
CODI_LLAR,Codi de la llar,Código del hogar,Home code,,,,,,,,,,,,
CODI_PERSONA,Codi de la persona,Código de la persona,Person code,,,,,,,,,,,,
CODI_PERSONA,,,,1,Persona 1,Persona 2,Person 1,,,,,,,,
CODI_PERSONA,,,,2,Persona 2,Persona 3,Person 2,,,,,,,,
CODI_PERSONA,,,,3,Persona 3,Persona 4,Person 3,,,,,,,,
CODI_PERSONA,,,,4,Persona 4,Persona 5,Person 4,,,,,,,,
CODI_PERSONA,,,,5,Persona 5,Persona 6,Person 5,,,,,,,,
CODI_PERSONA,,,,6,Persona 6,Persona 7,Person 6,,,,,,,,
CODI_PERSONA,,,,7,Persona 7,Persona 8,Person 7,,,,,,,,
CODI_PERSONA,,,,8,Persona 8,Persona 9,Person 8,,,,,,,,
CODI_PERSONA,,,,9,Persona 9,Persona 10,Person 9,,,,,,,,
CODI_PERSONA,,,,10,Persona 10,Persona 11,Person 10,,,,,,,,
CODI_PERSONA,,,,11,Persona 11,Persona 12,Person 11,,,,,,,,
CODI_PERSONA,,,,12,Persona 12,Persona 13,Person 12,,,,,,,,
CODI_PERSONA,,,,13,Persona 13,Persona 14,Person 13,,,,,,,,
CODI_PERSONA,,,,14,Persona 14,Persona 15,Person 14,,,,,,,,
CODI_PERSONA,,,,15,Persona 15,Persona 16,Person 15,,,,,,,,
SEXE,Sexe de la persona entrevistada,Sexo de la persona entrevistada,Sex of the interviewee,,,,,,,,,,,,
SEXE,,,,1,Home,Hombre,Man,,,,,,,,
SEXE,,,,6,Dona,Mujer,Woman,,,,,,,,
EDAT,Edat de la persona entrevistada,Edad de la persona entrevistada,Age of the interviewee,,,,,,,,,,,,
T2_TREBALL,1. La setmana passada, de dilluns a diumenge, va realitzar alguna feina remunerada (en metàl·lic o en espècies) per compte d’altri, per compte propi o com a ajuda familiar durant almenys una hora?,1. ¿La semana pasada, de lunes a domingo, realizó algún trabajo remunerado (en metálico o en especies) por cuenta ajena, por cuenta propia o como ayuda familiar durante almenos una hora?,1. Last week, from Monday to Sunday, did you do any paid work (in cash or in kind) as an employee, on a self-employed basis or as domestic help for at least one hour?,,,
T2_TREBALL,,,,1,Si,Sí,Yes,,,,,,,,
T2_TREBALL,,,,6,No,No,No,,,,,,,,
T2_TREBALL_ABS,2. Encara que no treballés la setmana passada, tenia alguna feina de la qual estigués absent per algun motiu?,2. Aunque no trabajara la semana pasada, ¿tenía algún trabajo del cual estuviera ausente por algún motivo?,2. Even though you did not work last week, did you have a job that you were absent from for some reason?,,,,,,,,,
T2_TREBALL_ABS,,,,1,Si,Sí,Yes,,,,,,,,
T2_TREBALL_ABS,,,,6,No,No,No,,,,,,,,
T2_MOTIU_TREB,3. Quin és el principal motiu pel qual no va treballar?,3. ¿Cuál es el principal motivo por el que no trabajó?,3. What is the main reason you did not work?,,,,,,,,,,,,
T2_MOTIU_TREB,,,,1,Vacances,Vacaciones,Holidays,,,,,,,,
T2_MOTIU_TREB,,,,2,Malaltia, accident o incapacitat temporal,Enfermedad, accidente o incapacidad temporal,Illness, accident or temporary disability,,,,,
T2_MOTIU_TREB,,,,3,Estudis,Estudios,Studying,,,,,,,,
T2_MOTIU_TREB,,,,4,Permís de maternitat o paternitat,Permiso de maternidad o paternidad,Maternity or paternity leave,,,,,,,,
