IDLLAR	IDPERSONA	DEGURBA	TRIM	DIA_SETMANA	ACT_MES_GRAT	ACT_MENYS_GRAT	ACT_ESTRES	DIA	TIPUS_DIA	FE_DIARIS
C0001	01	1	4	2	514	312	031	2	1	33506719
C0002	01	1	4	2	821	936	321	3	1	42863069
C0002	02	1	4	2	514	371	031	3	1	41613613
C0006	01	1	4	1	731	311	425	2	1	74748980
C0009	01	1	4	2	031	111	361	3	1	50988793
C0009	02	1	4	2	361	324	311	3	1	91819350
C0010	01	1	4	2	011	011	910	3	1	104873516
C0010	02	1	4	2	011	111	111	3	1	104873516
C0010	03	1	4	2	910	910	910	3	1	271285726
C0014	01	1	4	2	031	011	011	3	1	41154300
C0017	01	1	4	2	936	936	936	3	1	59233504
C0017	02	1	4	2	821	936	936	2	1	111410341
C0017	03	1	4	2	343	000	111	2	1	58198918
C0017	04	1	4	2	920	212	920	3	1	79386033
C0019	02	1	1	2	111	000	000	2	1	62746873
C0019	03	1	1	2	392	344	000	2	1	65241367
C0040	01	1	1	1	000	000	910	2	1	114155321
C0040	02	1	1	1	021	910	910	1	1	112887401
C0040	04	1	1	1	031	211	000	2	1	152574029
C0043	01	1	1	1	611	000	000	2	1	74748980
C0049	02	1	1	1	611	000	000	2	1	199763199
C0053	01	1	1	1	512	980	980	1	2	86395824
C0062	01	1	1	1	821	515	000	2	1	85636487
C0063	02	1	1	2	000	000	000	2	1	85955328
C0070	01	1	1	2	519	000	000	1	2	42165470
C0073	01	1	2	1	512	000	000	2	1	74748980
C0081	01	1	2	1	383	331	321	3	1	60950164
C0082	01	1	2	2	514	321	321	3	1	59701795
C0082	02	1	2	2	831	212	920	2	1	144572966
C0089	02	1	2	2	514	212	000	2	1	45191327
C0094	01	1	2	1	031	221	353	2	1	70356171
C0095	01	1	2	1	425	000	000	3	1	74748980
C0098	02	1	2	1	611	353	000	2	1	91486485
C0100	01	1	2	1	900	312	321	2	1	74748980
C0102	01	1	2	2	381	381	000	2	1	22058681
C0103	01	1	2	2	383	000	000	1	1	33699659
C0103	02	1	2	2	381	000	000	1	1	34322730
C0106	01	1	2	2	344	339	321	3	1	41154300
C0107	01	1	2	1	425	361	000	3	1	74748980
C0109	01	1	2	1	960	000	000	3	1	74748980
C0112	01	1	2	2	938	339	321	2	1	38522390
C0112	03	1	2	2	732	212	000	2	1	51628546
C0112	04	1	2	2	960	212	000	2	1	48116826
C0119	01	1	2	2	950	111	311	2	1	47797504
C0121	01	1	3	1	611	312	000	3	1	85636487
C0124	01	1	3	2	361	936	936	2	1	47797504
C0126	01	1	3	1	821	312	311	1	1	63784377
C0126	02	1	3	1	383	511	000	2	1	78668775
C0127	01	1	3	2	425	000	000	4	1	44358376
C0134	01	1	3	1	611	332	000	2	1	74748980
C0138	01	1	3	1	000	000	000	2	1	74748980
C0148	01	1	3	1	821	000	000	3	1	127508422
C0151	01	1	3	2	111	910	111	3	1	27451599
C0155	01	1	3	2	811	950	950	1	1	46184011
C0155	02	1	3	2	950	000	000	2	1	51708391
C0156	01	1	3	1	011	021	031	3	1	70356171
C0158	01	1	3	1	615	111	111	3	1	85636487
C0160	01	1	3	1	021	311	111	3	1	131881285
C0160	02	1	3	1	615	111	311	3	1	199763199
C0161	01	1	3	1	383	910	031	2	1	176355628
