Variable	DescrCA	DescrES	DescrEN	Valor_Value	LabelCA	LabelES	LabelEN
IDLLAR	Identificador únic de la llar	Identificador único del hogar	Unique household identifier				
IDPERSONA	Identificador únic de la  persona dins de la llar	Identificador único de la persona dentro del hogar	Unique identifier of the person within the household				
DEGURBA	Grau d'urbanització	Grado de urbanización	Degree of urbanisation				
DEGURBA				1	Centres urbans o àrees densament poblades	Centros urbanos o áreas densamente pobladas	Urban centres or densely populated areas
DEGURBA				2	Localitats i àrees semidenses o àrees de densitat intermèdia	Localidades y áreas semidensas o áreas de densidad intermedia	Towns and semi-dense areas or intermediate density areas
DEGURBA				3	Àrees rurals o àrees escassament poblades	Áreas rurales o áreas escasamente pobladas	Rural areas or thinly populated areas
TRIM	Període d'enquestació trimestral final	Periodo de encuestación trimestral final	Final quarterly survey period				
TRIM				1	De gener a març	De enero a marzo	From January to March
TRIM				2	D'abril a juny	De abril a junio	From April to June
TRIM				3	De juliol a setembre	De julio a septiembre	From July to September
TRIM				4	D'octubre a desembre	De octubre a diciembre	From October to December
DIA_SETMANA	Dia de la setmana d'enquestació	Día de la semana de la encuestación	Day of the week of the survey				
DIA_SETMANA				1	De dilluns a dijous	De lunes a jueves	From Monday to Thursday
DIA_SETMANA				2	De divendres a diumenge	De viernes a domingo	From Friday to Sunday
ACT_MES_GRAT	Quina ha estat l'activitat principal més gratificant descrita al diari?	¿Cuál ha sido la actividad principal más gratificante descrita en el diario?	Which main activity described in the diary has been the most rewarding?				
ACT_MES_GRAT				011	Dormir	Dormir	Sleeping
ACT_MES_GRAT				012	Malalt enllitat	Enfermo en cama	Sick in bed
ACT_MES_GRAT				021	Menjar i beure	Comer y beber	Eating
ACT_MES_GRAT				031	Higiene personal i vestir-se	Higiene personal y vestirse	Washing and dressing
ACT_MES_GRAT				032	Salut i benestar	Salud y bienestar	Personal care services
ACT_MES_GRAT				039	Altres cures personals no especificades	Otros cuidados personales no especificados	Other or unspecified personal care
ACT_MES_GRAT				111	Treball principal i secundari (inclou petits descansos i desplaçaments o viatges per assumptes laborals) 	Trabajo principal y secundario (incluye pequeños descansos y desplazamientos o viajes por asuntos laborales)	Working time in main and second job (including short breaks and travel at work)
ACT_MES_GRAT				121	Descans per menjar	Descanso para comer	Lunch break in main and second jobs
ACT_MES_GRAT				129	Altres activitats relacionades amb el treball remunerat	Otras actividades relacionadas con el trabajo remunerado	Other or unspecified activities related to employment
ACT_MES_GRAT				211	Classes, cursos i conferències	Clases, cursos y conferencias	Classes and lectures
ACT_MES_GRAT				212	Deures, treballs i biblioteca	Deberes, trabajos y biblioteca	Homework
ACT_MES_GRAT				213	Pràctiques	Prácticas	Internship
ACT_MES_GRAT				214	Descansos entre classes	Descansos entre clases	Breaks at school/ university
ACT_MES_GRAT				215	Classes extraescolars i extracurriculars	Clases extraescolares y extracurriculares	Extracurricular classes
ACT_MES_GRAT				219	Altres activitats relacionades amb els estudis i la formació	Otras actividades relacionadas con los estudios y la formación	Other/ unspecified activities related to study
ACT_MES_GRAT				221	Formació durant el temps lliure	Formación durante el tiempo libre	Free time study
ACT_MES_GRAT				311	Cuinar i preparar el menjar	Cocinar y preparar la comida	Food preparation and baking
ACT_MES_GRAT				312	Rentar els plats	Lavar los platos	Dish washing
ACT_MES_GRAT				313	Endreçar i conservar aliments	Ordenar y conservar alimentos	Storing, arranging, preserving food stocks
ACT_MES_GRAT				321	Netejar la casa	Limpiar la casa	Cleaning dwelling
ACT_MES_GRAT				322	Netejar el pati i les zones exteriors	Limpiar el patio y las zonas exteriores	Cleaning garden
ACT_MES_GRAT				323	Calefacció i subministrament d'aigua	Calefacción y suministro de agua	Heating dwelling and water
ACT_MES_GRAT				324	Tasques d'organització 	Tareas de organización	Arranging household goods and materials
ACT_MES_GRAT				325	Reciclatge i escombraries	Reciclaje y basura	Recycling and disposal of waste
ACT_MES_GRAT				329	Altres tasques de manteniment de la llar	Otras tareas de mantenimiento del hogar	Other or unspecified household upkeep
ACT_MES_GRAT				331	Rentar la roba	Lavar la ropa	Laundry
ACT_MES_GRAT				332	Planxar la roba	Planchar la ropa	Ironing
ACT_MES_GRAT				339	Altres tasques de confecció i cura de la roba	Otras tareas de confección y cuidado de la ropa	Other or unspecified textile care
ACT_MES_GRAT				341	Jardineria	Jardinería	Gardening
ACT_MES_GRAT				342	Cuidar animals de granja	Cuidar animales de granja	Tending domestic animals
ACT_MES_GRAT				343	Cuidar animals de companyia	Cuidar animales de compañía	Caring for pets
ACT_MES_GRAT				344	Passejar el gos	Pasear al perro	Walking the dog
ACT_MES_GRAT				349	Altres activitats de jardineria i animals	Otras actividades de jardinería y animales	Other or unspecified gardening and pet care
ACT_MES_GRAT				351	Construcció i reforma de l'habitatge	Construcción y reforma de la vivienda	House construction and renovation
ACT_MES_GRAT				352	Reparacions de l'habitatge	Reparaciones de la vivienda	Repairs to dwelling
ACT_MES_GRAT				353	Fabricació, reparació i manteniment de l'equipament de la llar	Fabricación, reparación y mantenimiento del equipamiento del hogar	Making, repairing and maintaining equipment
ACT_MES_GRAT				354	Manteniment de vehicles	Mantenimiento de vehículos	Vehicle maintenance
ACT_MES_GRAT				359	Altres activitats de construcció i reparacions	Otras actividades de construcción y reparaciones	Other or unspecified construction and repairs
ACT_MES_GRAT				361	Compres	Compras	Shopping (including online/ e-shopping)
ACT_MES_GRAT				362	Gestions comercials i administratives	Gestiones comerciales y administrativas	Commercial and administrative services
ACT_MES_GRAT				369	Altres gestions relacionades amb les compres i els serveis	Otras gestiones relacionadas con las compras y los servicios	Other or unspecified shopping and services
ACT_MES_GRAT				371	Gestions de la llar	Gestiones del hogar	Household management
ACT_MES_GRAT				381	Cuidar i vigilar els infants	Cuidar y vigilar a los niños	Physical care and supervision of child
ACT_MES_GRAT				382	Ensenyar coneixements als infants 	Enseñar conocimientos a los niños	Teaching the child
ACT_MES_GRAT				383	Jugar, llegir i parlar amb els infants	Jugar, leer y hablar con los niños	Reading, playing and talking with child
ACT_MES_GRAT				384	Acompanyar els infants a algun lloc	Acompañar a los niños a algún lugar	Accompanying child
ACT_MES_GRAT				389	Altres tipus d'assitència als infants de la llar	Otros tipos de asistencia a los niños del hogar	Other or unspecified childcare
ACT_MES_GRAT				391	Cuidar els adults de la llar	Cuidar a los adultos del hogar	Physical care of an adult household member
ACT_MES_GRAT				392	Altres tipus d'assistència als adults  de la llar	Otros tipos de asistencia a los adultos del hogar	Other support to an adult household member
ACT_MES_GRAT				411	Voluntariat a una organització (de forma directa o indirecta)	Voluntariado en una organización (de forma directa o indirecta)	Organisational work (work for or through an organisation)
ACT_MES_GRAT				421	En la construcció i les reparacions	En la construcción y las reparaciones	Construction and repairs as help
ACT_MES_GRAT				422	En feines agrícoles, ramaderes o d'oficina, etc.	En las tareas agrícolas, ganaderas o de oficina, etc.	Help in employment and farming
ACT_MES_GRAT				423	En la cura dels fills que viuen a una altra llar	En el cuidado de los hijos que viven en otro hogar	Care of own children living in another household
ACT_MES_GRAT				424	En la cura d'infants que viuen a altres llars	En el cuidado de niños que viven en otros hogares	Childcare as help to another household
ACT_MES_GRAT				425	En la cura d'aduts d'altres llars	En el cuidado de los adultos de otros hogares	Help to an adult person of another household
ACT_MES_GRAT				429	Altres ajudes informals a altres llars	Otras ayudas informales en otros hogares	Other/ unspecified informal help to another household
