IDLLAR	IDPERSONA	DEGURBA	NAC	ESTAT_CIVIL	VIVINT	FILLS_VIUEN	ESTUDI_ALT	TRAM_EDAT	TRAM_EDAT_INTERNET	SEXE	TREBALL	TREBALL_ABSENT	MOTIU_ABSENT	SECTOR_ACT	MINUTS_TREBALL	TELETREBALL	MINUTS_TELETREBALL	SIT_PROF	CONTRACTE	JORNADA	FLEXIBLE	HORARI	REDUCCIO_JORNADA	TREBALL_SEC	REL_ACT	AJ_MENJAR	AJ_MANTENIMENT	AJ_ROBA	AJ_JARDINERIA	AJ_REPARACIO	AJ_COMPRES	AJ_GESTIO	AJ_INFANTS	AJ_ADULTS	VOL_JUVENIL	VOL_ESPORT	VOL_RELIGIO	VOL_POLITICA	VOL_COOPERACIO	VOL_ASSISTENCIA	VOL_MEDIAMBIENTAL	VOL_DRETS	VOL_VEINS	VOL_ART	VOL_EDUCACIO	SALUT	MALALTIA_LLARGA	LIMITACIONS	DUR_LIMITACIO	ESTRES	DINAR_SOPAR	COMPRAR	NETEJA	ROBA_INFANTS	MEDIC	GRUPS	FE_IND
C0001	1	1	1	3	6	6	1	3	3	6	6	6													4	2	1	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	5	1	2	1	1	1	1	1				32100549
C0002	1	1	1	2	1	6	1	4	5	1	6	6													3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	1	3		3	2	2	2				38753927
C0002	2	1	1	2	1	6	1	4	4	6	6	6													3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	1	1	1	2	1	1	1				40471999
C0006	1	1	1	2	6	6	1	4	4	6	6	6													3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	1	1	1	1	1	1	1				71789427
C0009	1	1	1	1	1	6	3	2	2	1	1			4	2400	3		2	1	1	6	1	6	6	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	3		2	3	3	2				46033377
C0009	2	1	2	1	1	6	3	2	2	6	6	6													2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	3		3	3	3	3				86501123
C0010	1	1	2	1	6	6	3	2	2	1	1			4	2400	3		2	1	1	6	1	6	6	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	3		2	4	4	4				102791222
C0010	2	1	2	1	6	6	3	2	2	1	1			4	2400	3		2	1	1	6	2	6	6	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	3		2	1	4	1				102791222
C0010	3	1	2	1	6	6	3	1	1	1	1			4	2400	3		2	1	1	6	1	6	6	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	3		2	1	4	4				218252783
C0014	1	1	1	3	6	6	1	4	5	6	6	6													3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	1	1	1	2	1	5	1				40025287
