Variable	DescrCA	DescrES	DescrEN	Valor_Value	LabelCA	LabelES	LabelEN
IDLLAR	Identificador únic de la llar	Identificador único de hogar	Unique household identifier				
IDPERSONA	Identificador únic de la  persona dins de la llar	Identificador único de la persona dentro del hogar	Unique identifier of the person within the household				
DEGURBA	Grau d'urbanització	Grado de urbanización	Degree of urbanisation				
DEGURBA				1	Centres urbans o àrees densament poblades	Centros urbanos o áreas densamente pobladas	Urban centres or densely populated areas
DEGURBA				2	Localitats i àrees semidenses o àrees de densitat intermèdia	Localidades y áreas semidensas o áreas de densidad intermedia	Towns and semi-dense areas or intermediate density areas
DEGURBA				3	Àrees rurals o àrees escassament poblades	Áreas rurales o áreas escasamente pobladas	Rural areas or thinly populated areas
NAC	Quina nacionalitat té?	¿Cuál es su nacionalidad?	What is your nationality?				
NAC				1	Espanyola	Española	Spanish
NAC				2	Estrangera	Extranjera	Foreign
ESTAT_CIVIL	Estat civil legal	Estado civil legal	 Legal marital status				
ESTAT_CIVIL				1	Soter/a	Soltero/a	Single
ESTAT_CIVIL				2	Casat/ada	Casado/a	Married
ESTAT_CIVIL				3	Vidu/Vídua	Viudo/a	Widow/widower
ESTAT_CIVIL				4	Divorciat que no s'ha tornat a casar	Divorciado que no se ha vuelto a casar	Divorced and not remarried
VIVINT	Actualment viu en parella?	¿Actualmente vive en pareja?	Do you currently live as a couple?				
VIVINT				1	Si	Sí	Yes
VIVINT				6	No	No	No
FILLS_VIUEN	"Té fills/filles menors de 18 anys que no conviuen amb vostè amb els quals manté el contacte?
[Edat de la persona >=18]"	"Tiene hijos/as menores de 18 años que no conviven con usted con los que se mantiene el contacto?
[Edad de la persona>=18]"	"Have you children under 18 who do not live with you but with whom you keep in contact?
[Person's age >=18]"				
FILLS_VIUEN				1	Si	Sí	Yes
FILLS_VIUEN				6	No	No	No
ESTUDI_ALT	"Quin és l’estudi de més alt nivell que ha assolit?
[Edat membre de la llar > 15 anys]"	"¿Cuáles son los estudios de mayor nivel que ha alcanzado?
[Edad miembro del hogar > 15 años]"	"What is the highest educational level you have achieved?
[Household member age > 15 years]"				
ESTUDI_ALT				1	Educació primària o inferior	Educación primaria o inferior 	Primary education or lower
ESTUDI_ALT				2	Primera etapa d'educació secundària i similar	Primera etapa de educación secundaria y similar	1st-cycle of compulsory secondary education and equivalent
ESTUDI_ALT				3	Segona etapa d'educació secundària i similar	Segunda etapa de educación secundaria y similar	2nd-cycle of compulsory secondary education and equivalent
ESTUDI_ALT				4	Educació superior	Educación superior	Higher education
TRAM_EDAT	Tram d'edat de l'enquestat/ada	Tramo de edad del encuestado/a	Age group of the respondent				
TRAM_EDAT				1	De 10 a 24 anys	De 10 a 24 años	From 10 to 24 years
TRAM_EDAT				2	De 25 a 44 anys	De 25 a 44 años	From 25 to 44 years
TRAM_EDAT				3	De 45 a 64 anys	De 45 a 64 años	From 45 to 64 years
TRAM_EDAT				4	65 anys o més	65 años o más	65 years or over
TRAM_EDAT_INTERNET	Tram edat de la persona enquestada per l'ús d'internet o dispositiu electrònic	Tramo edad de la persona encuestada por el uso de internet o dispositivo electrónico	Age range of the person surveyed for internet or electronic device use				
TRAM_EDAT_INTERNET				1	De 10 a 24 anys	De 10 a 24 años	From 10 to 24 years
TRAM_EDAT_INTERNET				2	De 25 a 44 anys	De 25 a 44 años	From 25 to 44 years
TRAM_EDAT_INTERNET				3	De 45 a 64 anys	De 45 a 64 años	From 45 to 64 years
TRAM_EDAT_INTERNET				4	De 65 a 79 anys	De 65 a 79 años	From  65 to 79 years
TRAM_EDAT_INTERNET				5	80 anys o més	80 años o más	80 years or over
SEXE	Sexe	Sexo	Sex				
SEXE				1	Home	Hombre	Man
SEXE				6	Dona	Mujer	Woman
