IDLLAR	DEGURBA	TRIM	TIPUS_LLAR	NUM_MEMBRES	TRAM_INGRESSOS	AD_DEP	CURA	AJ_CURA_INF	AJ_CURA_MALALTS	AJ_DOM	MENORS_10	FE_LLAR
C0001	1	4	1	1	1	1			6	1	0	29574811
C0002	1	4	2	2	2	1			6	6	0	33389402
C0006	1	4	1	1	1	6			9	6	0	66992078
C0009	1	4	2	2	2	6			9	6	0	45805467
C0010	1	4	7	3	5	6			9	6	0	55886942
C0014	1	4	1	1	1	1			1	6	0	33020865
C0017	1	4	5	4	2	6		6	9	6	0	52282639
C0019	1	1	7	4	5	1			6	6	0	55383725
C0040	1	1	5	4	2	6		6	9	6	0	89766328
C0043	1	1	1	1	1	6			9	6	0	66992078
C0049	1	1	2	2	9	6			9	6	0	76188117
C0053	1	1	2	2	4	6			9	6	0	72860086
C0062	1	1	1	1	4	6			9	1	0	68096820
C0063	1	1	2	2	1	6			9	6	0	45805467
C0070	1	1	1	1	2	6			9	6	0	36456283
C0073	1	2	1	1	1	6			9	1	0	66992078
C0081	1	2	3	3	2	6	1	6	9	6	1	51401028
C0082	1	2	3	2	2	6		6	9	6	0	29783141
C0089	1	2	3	2	2	6			6	6	0	29762437
C0094	1	2	4	2	3	6			6	6	0	55324754
C0095	1	2	1	1	1	6			9	6	0	66992078
C0098	1	2	2	2	2	6			9	6	0	68326452
C0100	1	2	1	1	2	6			9	6	0	66992078
C0102	1	2	3	3	9	6	1	1	9	1	1	19071944
C0103	1	2	5	3	2	6	1	6	9	6	1	29136739
C0106	1	2	1	1	9	6			9	6	0	33020865
C0107	1	2	1	1	2	6			9	6	0	66992078
C0109	1	2	1	1	1	6			9	6	0	66992078
C0112	1	2	5	4	4	1		6	6	6	0	34001908
C0119	1	2	1	1	9	6			9	6	0	42938593
C0121	1	3	1	1	2	6			9	6	0	68096820
C0124	1	3	1	1	1	6			9	6	0	42938593
C0126	1	3	5	4	4	6	6	6	9	6	1	53791202
C0127	1	3	1	1	1	6			9	6	0	34554213
C0134	1	3	1	1	2	6			9	6	0	66992078
C0138	1	3	1	1	9	6			9	6	0	66992078
C0148	1	3	6	3	9	1			1	6	0	101392740
C0151	1	3	3	2	1	6			9	6	0	24230240
C0155	1	3	4	2	1	6			9	6	0	41489122
C0156	1	3	4	2	4	1			1	1	0	55324754
C0158	1	3	1	1	3	6			9	6	0	68096820
C0160	1	3	2	2	5	6			6	6	0	76188117
C0161	1	3	5	3	3	6	1	6	9	6	1	67260652
C0164	1	3	1	1	1	1			6	1	0	33020865
C0165	1	3	1	1	2	6			9	6	0	35455039
C0174	1	4	1	1	1	6			9	6	0	68096820
C0176	1	4	1	1	9	6			9	6	0	66992078
C0178	1	4	6	3	5	6			9	6	0	41584252
C0181	1	4	2	2	9	6			9	6	0	34258945
C0183	1	4	2	2	5	6			9	6	0	68326452
C0186	1	4	1	1	1	1			6	1	0	66992078
C0188	1	4	2	2	9	6			9	6	0	45805467
C0189	1	4	5	3	5	6	1	6	9	6	1	58143421
C0197	1	4	3	3	2	6		6	9	6	0	64279182
C0199	1	4	2	2	9	6			9	6	0	45805467
C0205	1	4	2	2	9	6			9	1	0	65174003
C0209	1	4	3	2	2	6			6	6	0	40591820
C0210	1	4	1	1	2	6			9	6	0	28549180
C0213	1	4	2	2	5	1			6	1	0	65174003
C0214	1	4	7	2	5	6			9	6	0	33628218
C0224	1	1	2	2	9	6			6	6	0	28867810
C0226	1	1	5	4	3	6	1	1	9	6	1	47135302
C0229	1	1	2	2	5	6			9	6	0	28867810
C0234	1	1	7	4	3	6		6	6	6	0	107320732
C0235	1	1	2	2	2	6			9	6	0	72672946
C0241	1	1	5	3	9	6	6	6	9	6	1	30481125
C0242	1	1	5	4	2	6		6	9	6	0	29417957
C0249	1	1	5	5	4	6	1	6	9	6	1	77745024
C0250	1	1	2	2	5	6			9	6	0	39602492
C0251	1	1	2	2	4	6			9	1	0	29619599
C0253	1	1	2	2	5	6			9	6	0	26523129
C0258	1	1	6	3	4	1			6	6	0	41256315
C0261	1	1	1	1	4	6			9	6	0	63901194
C0262	1	1	2	2	3	6			9	6	0	39602492
C0265	1	2	2	2	5	6			9	6	0	39602492
C0270	1	2	5	5	5	6	1	1	9	1	1	48020753
C0271	1	2	5	4	5	6		6	9	6	0	43887348
C0274	1	2	1	1	9	6			9	6	0	25569790
C0276	1	2	4	2	1	1			6	6	0	29619599
C0277	1	2	1	1	1	1			6	1	0	28549180
C0280	1	2	1	1	9	6			9	6	0	31519373
C0281	1	2	2	2	9	1			1	1	0	65174003
C0284	1	2	2	2	4	1			1	1	0	28867810
C0285	1	2	1	1	2	6			6	1	0	28549180
C0286	1	2	7	4	2	6	1	6	9	6	1	32404451
C0295	1	2	5	4	2	6	6	6	9	6	1	32569420
C0297	1	2	3	2	2	6			9	6	0	24419072
C0302	1	2	1	1	2	6			9	6	0	28549180
C0305	1	2	5	3	5	6			9	1	0	27498617
C0306	1	2	1	1	4	6			9	6	0	64954966
C0308	1	2	1	1	9	6			9	1	0	28549180
C0312	1	2	7	2	1	6			9	6	0	72672946
C0314	1	2	1	1	4	6			9	6	0	25569790
C0316	1	2	2	2	5	1			1	1	0	28867810
C0317	1	2	1	1	4	6			9	6	0	64954966
C0325	1	3	3	2	5	6			9	6	0	40591820
C0326	1	3	1	1	4	6			9	6	0	25569790
C0328	1	3	5	3	5	6			9	1	0	27517820
C0334	1	3	5	4	5	6	1	1	9	1	1	24148269
C0336	1	3	2	2	5	1			6	1	0	26523129
C0337	1	3	1	1	3	6			9	6	0	66765418
C0338	1	3	7	2	4	1			1	6	0	63662098
C0342	1	3	1	1	9	6			9	6	0	63901194
C0346	1	3	2	2	3	6			9	6	0	28867810
C0350	1	3	1	1	2	6			9	6	0	31519373
C0351	1	3	5	4	4	6		6	9	6	0	29397370
C0355	1	3	5	5	5	6		6	9	1	0	40054040
C0361	1	3	1	1	2	6			9	1	0	65418902
C0362	1	3	6	3	9	6			9	1	0	38068564
C0364	1	3	2	2	2	6			9	6	0	28867810
C0366	1	3	2	2	3	6			9	6	0	26523129
C0367	1	3	1	1	2	6			9	6	0	29874882
C0370	1	3	2	2	3	6			9	6	0	39602492
C0371	1	3	1	1	5	6			9	1	0	37123850
C0372	1	4	7	3	3	6	1	1	9	1	1	47431392
C0373	1	4	1	1	9	6			9	6	0	69814722
C0374	1	4	1	1	9	6			9	6	0	28549180
C0377	1	4	5	4	5	6	1	6	9	6	1	21869844
C0378	1	4	2	2	5	6			9	6	0	53634700
C0379	1	4	2	2	2	6			9	6	0	26523129
C0381	1	4	1	1	1	6			9	6	0	52754993
C0383	1	4	5	4	5	6			9	6	0	45233902
C0385	1	4	1	1	3	1			1	1	0	28549180
C0388	1	4	1	1	5	6			9	1	0	37123850
C0389	1	4	1	1	3	6			9	6	0	52968585
C0393	1	4	2	2	2	1			6	6	0	65174003
C0397	1	4	6	3	9	6			9	6	0	82424171
C0402	1	4	1	1	2	6			9	6	0	24887515
C0405	1	4	2	2	9	6			9	6	0	23437549
C0417	1	1	1	1	2	6			6	6	0	24255184
C0425	1	1	5	4	9	6	6	6	9	6	1	21701495
C0426	1	1	5	3	9	6			9	6	0	22341504
C0427	1	1	6	3	9	6			9	6	0	37388332
C0428	1	1	2	2	3	6			9	6	0	21533921
C0435	1	1	5	4	9	6			9	6	0	31188212
C0437	1	1	6	3	5	6			9	6	0	30907571
C0442	1	1	2	2	5	6			6	6	0	23437549
C0445	1	1	2	2	9	6			9	6	0	53067953
C0446	1	1	6	3	9	6			9	6	0	85152387
C0447	1	1	7	4	4	1	6	6	6	6	1	30135526
C0450	1	1	1	1	9	6			9	6	0	20759913
C0453	1	1	2	2	3	6			9	6	0	53446958
C0457	1	1	1	1	9	6			9	6	0	52403172
C0459	1	1	5	3	9	6		6	9	6	0	27534585
C0461	1	1	5	4	4	6		6	9	6	0	62005306
C0463	1	1	7	4	9	6		6	9	6	0	37724183
C0466	1	1	2	2	3	6			9	6	0	53446958
C0467	1	1	4	2	9	6			9	6	0	20065784
C0471	1	1	6	3	4	6			9	6	0	37388332
C0472	1	1	1	1	1	6			9	6	0	25590333
C0473	1	2	5	4	5	6		6	9	1	0	53024157
C0476	1	2	1	1	2	6			9	6	0	20759913
C0477	1	2	1	1	9	6			9	6	0	25590333
C0479	1	2	2	2	2	6			9	6	0	53446958
C0481	1	2	2	2	5	6			9	1	0	32152954
C0485	1	2	2	2	3	6			9	6	0	21533921
C0489	1	2	1	1	2	6			9	6	0	52403172
C0490	1	2	1	1	4	6			9	6	0	25590333
C0493	1	2	2	2	9	6			9	6	0	54716843
C0496	1	2	5	5	9	6	1	6	9	6	1	26781053
C0498	1	2	2	2	5	6			6	1	0	23437549
C0499	1	2	1	1	2	6			9	1	0	23178856
C0502	1	2	5	4	5	6	1	6	9	6	1	17964182
C0503	1	2	5	4	5	6		6	9	6	0	45577565
C0506	1	2	5	3	5	6		6	9	6	0	49120176
C0510	1	2	1	1	3	6			9	6	0	53267334
C0511	1	2	1	1	2	6			6	1	0	24255184
C0518	1	2	4	2	2	6			9	6	0	22138696
C0522	1	3	5	4	9	6	1	6	9	6	1	38654040
